id;nom_cabinet;adresse;code_postal;ville;latitude;longitude;telephone;type_tel;site_web;langues;membres;url_fiche;date_scraping;contacted
6355;INGENIERIE COMPTABLE & FINANCIERE JEAN MICHEL BARDEL;1 RUE DE CASSEL;59470;Wormhout;;;06 81 20 96 14;mobile;;;;https://annuaire.experts-comptables.org/expert-comptable/6355-ingenierie-comptable-financiere-jean-michel-bardel-wormhout-59470;2026-04-28;1
40019;AVIOM;3 RUE DES CYPRES;17200;Royan;;;;;;;;https://annuaire.experts-comptables.org/expert-comptable/40019-aviom-royan-17200;2026-04-28;
23217;EXCO FIDUCIAIRE DU SUD OUEST;RESIDENCE CAP EVOLUTION - BOULEVARD DES CIGALES;40130;Capbreton;;;05 58 72 16 50;fixe;;;;https://annuaire.experts-comptables.org/expert-comptable/23217-exco-fiduciaire-du-sud-ouest-capbreton-40130;2026-04-28;
37836;INN CONSEILS;8 RUE DE SABLE;72700;Saint-Georges-du-Bois;;;06 79 69 92 38;mobile;;;;https://annuaire.experts-comptables.org/expert-comptable/37836-inn-conseils-saint-georges-du-bois-72700;2026-04-28;
20093;SOCIETE FIDUCIAIRE NATIONALE D'EXPERTISE COMPTABLE FIDEXPERTISE;29 GRANDE RUE;12360;Camarès;;;0565497944;fixe;;;;https://annuaire.experts-comptables.org/expert-comptable/20093-societe-fiduciaire-nationale-d-expertise-comptable-fidexpertise-camares-12360;2026-04-28;
36791;EDELCIME;68 B CHEMIN DE JOIN;73100;Brison-Saint-Innocent;;;07 84 11 32 96;mobile;;;;https://annuaire.experts-comptables.org/expert-comptable/36791-edelcime-brison-saint-innocent-73100;2026-04-28;
27279;EL BEHI SOFIANE;2 RUE JEAN LANTIER;75001;Paris;;;;;;;;https://annuaire.experts-comptables.org/expert-comptable/27279-el-behi-sofiane-paris-75001;2026-04-28;
29388;BARPER;20 RUE SAINT GERMAIN;86000;Poitiers;;;06 77 36 75 71;mobile;;;;https://annuaire.experts-comptables.org/expert-comptable/29388-barper-poitiers-86000;2026-04-28;
36916;AGC MIDI MED;COOPERATIVE - D25;11420;Belpech;;;04 68 94 55 55;fixe;;;;https://annuaire.experts-comptables.org/expert-comptable/36916-agc-midi-med-belpech-11420;2026-04-28;
545;CABINET RAYEUR;1 RUE DE VERDUN;76440;Forges-les-Eaux;;;02 32 89 94 95;fixe;;;;https://annuaire.experts-comptables.org/expert-comptable/545-cabinet-rayeur-forges-les-eaux-76440;2026-04-28;
20769;AGC CERFRANCE POITOU-CHARENTES;28 RUE DU FIEF GIRARD;17290;Aigrefeuille-d'Aunis;;;05 46 68 67 00;fixe;;;;https://annuaire.experts-comptables.org/expert-comptable/20769-agc-cerfrance-poitou-charentes-aigrefeuille-d-aunis-17290;2026-04-28;
21705;ORTALLES;IMMEUBLE LE STERENN - 11 RUE DES ORCHIDEES - ZAC DES CORMIERS;35650;Le Rheu;;;02 99 31 21 91;fixe;;;;https://annuaire.experts-comptables.org/expert-comptable/21705-ortalles-le-rheu-35650;2026-04-28;
